	#%Freq (Hz)	%Mic/Source_Real	%Mic/Source_Imag
105.500000000000010E+0	-19.490493076568131E-3	-27.098941612077286E-3
106.000000000000010E+0	-19.998695949229098E-3	-26.656197018423641E-3
106.500000000000010E+0	-18.741917319892824E-3	-27.218422039210270E-3
107.000000000000010E+0	-18.725556471335624E-3	-28.521330667533387E-3
107.500000000000010E+0	-19.676985033130499E-3	-29.548163237633998E-3
108.000000000000010E+0	-19.285385979009320E-3	-30.071156160118264E-3
108.500000000000010E+0	-19.443540773532844E-3	-30.298337182533407E-3
109.000000000000010E+0	-20.283117107020521E-3	-30.497120347410880E-3
109.500000000000010E+0	-22.351107703971869E-3	-31.165452417476452E-3
110.000000000000010E+0	-22.773442489603044E-3	-31.000146203951202E-3
110.500000000000010E+0	-24.669185836686799E-3	-29.964293312230168E-3
111.000000000000010E+0	-24.773201842635012E-3	-29.451741335191864E-3
111.500000000000010E+0	-25.309696743400483E-3	-28.290203585693389E-3
112.000000000000010E+0	-25.917428217130205E-3	-27.994418992805619E-3
112.500000000000010E+0	-25.653436076913998E-3	-26.763303914598333E-3
113.000000000000010E+0	-25.833532721424829E-3	-26.525045105822459E-3
113.500000000000010E+0	-24.164274021163286E-3	-26.079597156689126E-3
114.000000000000010E+0	-24.424783302116282E-3	-24.715237970746470E-3
114.500000000000010E+0	-25.484101576087256E-3	-23.490609889606346E-3
115.000000000000010E+0	-24.980504216035069E-3	-25.745704420257684E-3
115.500000000000010E+0	-24.049686500404753E-3	-26.057907857053170E-3
116.000000000000010E+0	-26.131308565374645E-3	-25.824310406169455E-3
116.500000000000010E+0	-26.549933062695961E-3	-25.568315054052645E-3
117.000000000000010E+0	-26.229209935778503E-3	-25.121215278669611E-3
117.500000000000010E+0	-25.390213024008769E-3	-23.574077265732688E-3
118.000000000000010E+0	-25.185230773602494E-3	-22.548448891176256E-3
118.500000000000010E+0	-26.025235396854748E-3	-24.855879213772428E-3
119.000000000000010E+0	-23.798643719700391E-3	-24.329449770860809E-3
119.500000000000010E+0	-25.490162339029506E-3	-23.349212384702347E-3
120.000000000000010E+0	-24.857051046301561E-3	-23.845495387439769E-3
120.500000000000010E+0	-25.585182437638868E-3	-24.329552043918901E-3
121.000000000000010E+0	-25.471451514995695E-3	-23.368409230710086E-3
121.500000000000010E+0	-25.791692221378667E-3	-23.636277895427264E-3
122.000000000000010E+0	-25.129743727918066E-3	-23.344977180820806E-3
122.500000000000010E+0	-25.269550956030867E-3	-23.442206959200605E-3
123.000000000000010E+0	-25.763584178275574E-3	-23.285024035858928E-3
123.500000000000010E+0	-26.560088214549221E-3	-23.123793086303909E-3
124.000000000000010E+0	-26.126472349121625E-3	-23.567095694679435E-3
124.500000000000010E+0	-26.722247852974869E-3	-23.371745405988308E-3
125.000000000000010E+0	-25.948229107300852E-3	-22.711691744688730E-3
125.500000000000010E+0	-26.471303569638421E-3	-22.287428946116405E-3
126.000000000000010E+0	-26.437734192510214E-3	-21.694545892376606E-3
126.500000000000010E+0	-26.129086249007703E-3	-21.977797117019453E-3
127.000000000000010E+0	-26.595251052152682E-3	-22.453171636376751E-3
127.500000000000010E+0	-25.947624749505242E-3	-22.541842907508360E-3
